,FID_,COUNT,AREA,SUM
0,0,599.0,2396.0,432.0
1,1,429.0,1716.0,124.0
2,2,323.0,1292.0,262.0
3,3,1853.0,7412.0,475.0
4,4,1669.0,6676.0,1650.0
5,5,414.0,1656.0,278.0
6,6,274.0,1096.0,227.0
7,7,329.0,1316.0,60.0
8,8,993.0,3972.0,857.0
9,9,577.0,2308.0,469.0
10,10,906.0,3624.0,906.0
11,11,1421.0,5684.0,1389.0
12,12,1651.0,6604.0,1645.0
13,13,3471.0,13884.0,3268.0
14,14,366.0,1464.0,0.0
15,15,300.0,1200.0,295.0
16,16,715.0,2860.0,700.0
17,17,292.0,1168.0,291.0
18,18,91.0,364.0,90.0
19,19,1193.0,4772.0,1181.0
20,20,1535.0,6140.0,1353.0
21,21,862.0,3448.0,860.0
22,22,39.0,156.0,39.0
23,23,374.0,1496.0,372.0
24,24,384.0,1536.0,381.0
25,25,7.0,28.0,7.0
26,26,1716.0,6864.0,964.0
27,27,288.0,1152.0,283.0
28,28,393.0,1572.0,384.0
29,29,663.0,2652.0,658.0
30,30,243.0,972.0,239.0
31,31,365.0,1460.0,336.0
32,32,130.0,520.0,130.0
33,33,347.0,1388.0,341.0
34,34,293.0,1172.0,293.0
35,35,455.0,1820.0,417.0
36,36,3292.0,13168.0,3242.0
37,37,1325.0,5300.0,1305.0
38,38,349.0,1396.0,349.0
39,39,1102.0,4408.0,1100.0
40,40,776.0,3104.0,774.0
41,41,381.0,1524.0,381.0
42,42,430.0,1720.0,427.0
43,43,350.0,1400.0,348.0
44,44,78.0,312.0,78.0
45,45,559.0,2236.0,551.0
46,46,402.0,1608.0,392.0
47,47,318.0,1272.0,318.0
48,48,819.0,3276.0,811.0
49,49,2861.0,11444.0,2854.0
50,50,1091.0,4364.0,1091.0
51,51,393.0,1572.0,388.0
52,52,186.0,744.0,186.0
53,53,1526.0,6104.0,1524.0
54,54,58.0,232.0,58.0
55,55,5.0,20.0,5.0
56,56,606.0,2424.0,595.0
57,57,1320.0,5280.0,1307.0
58,58,242.0,968.0,235.0
59,59,340.0,1360.0,329.0
60,60,879.0,3516.0,870.0
61,61,414.0,1656.0,395.0
62,62,1059.0,4236.0,1059.0
63,63,992.0,3968.0,991.0
64,64,1534.0,6136.0,1515.0
65,65,529.0,2116.0,514.0
66,66,1002.0,4008.0,964.0
67,67,269.0,1076.0,266.0
68,68,245.0,980.0,239.0
69,69,600.0,2400.0,546.0
70,70,689.0,2756.0,684.0
71,71,26.0,104.0,26.0
72,72,1684.0,6736.0,1636.0
73,73,4628.0,18512.0,4423.0
74,74,5.0,20.0,5.0
75,75,1248.0,4992.0,1239.0
76,76,2375.0,9500.0,2155.0
77,77,3511.0,14044.0,3451.0
78,78,923.0,3692.0,909.0
79,79,322.0,1288.0,318.0
80,80,2363.0,9452.0,2340.0
81,81,1417.0,5668.0,1400.0
82,82,1513.0,6052.0,1507.0
83,83,158.0,632.0,156.0
84,84,1557.0,6228.0,1539.0
85,85,509.0,2036.0,503.0
86,86,2231.0,8924.0,2126.0
87,87,9.0,36.0,9.0
88,88,1004.0,4016.0,983.0
89,89,17.0,68.0,17.0
90,90,914.0,3656.0,897.0
91,91,818.0,3272.0,799.0
92,92,1375.0,5500.0,1315.0
93,93,31.0,124.0,31.0
94,94,511.0,2044.0,504.0
95,95,207.0,828.0,191.0
96,96,413.0,1652.0,411.0
97,97,1364.0,5456.0,1357.0
98,98,1082.0,4328.0,1081.0
99,99,470.0,1880.0,467.0
100,100,277.0,1108.0,277.0
101,101,948.0,3792.0,935.0
102,102,2230.0,8920.0,2220.0
103,103,292.0,1168.0,292.0
104,104,623.0,2492.0,621.0
105,105,327.0,1308.0,327.0
106,106,342.0,1368.0,332.0
107,107,279.0,1116.0,276.0
108,108,258.0,1032.0,256.0
109,109,948.0,3792.0,940.0
110,110,400.0,1600.0,378.0
111,111,1336.0,5344.0,1335.0
112,112,249.0,996.0,248.0
113,113,603.0,2412.0,598.0
114,114,353.0,1412.0,351.0
115,115,911.0,3644.0,911.0
116,116,2383.0,9532.0,2370.0
117,117,1155.0,4620.0,1134.0
118,118,414.0,1656.0,389.0
119,119,32.0,128.0,32.0
120,120,13.0,52.0,13.0
